Request Date,Cumulative Date Start,Pages Printed in Last 24 Hours,Total Pages Printed Since Cumulative Date,Total Users,Average Pages Printed Per User,Total Pages to Date
"May 01, 2018 ",04/01/2018,22117,65,42539,9.59,14987616
"December 05, 2018 ",09/26/2018,25253,55,47840,18.5,16848736
"July 08, 2018 ",06/23/2018,0,5014,43125,1.14,15674340
"February 15, 2018 ",01/08/2018,20155,512385,41652,12.27,14050872
"October 27, 2017 ",09/24/2017,19701,6,39748,11.53,13013705
"March 11, 2018 ",01/08/2018,6,69,41978,19.21,14347178
"July 01, 2018 ",06/23/2018,0,9,43083,0.72,15656182
"September 20, 2018 ",06/23/2018,81,5,43779,7.56,15957035
"March 10, 2018 ",01/08/2018,11915,685,41978,19.21,14347172
"May 05, 2019 ",04/01/2019,128,33307,49826,8.68,18408779
"June 28, 2019 ",06/22/2019,5051,765,50304,0.55,18965761
"May 16, 2019 ",04/01/2019,20402,5856,49960,11.7,18561121
"June 04, 2018 ",04/01/2018,981,56,42907,19.2,15404379
"October 31, 2017 ",09/24/2017,24700,68,39849,12.43,13050579
"July 17, 2019 ",06/22/2019,4931,85,50381,1.68,19023111
"September 06, 2018 ",06/23/2018,5844,4,43697,6.55,15912214
"January 07, 2019 ",01/06/2019,139,,48053,0,17017421
"May 30, 2018 ",04/01/2018,21851,774356,42865,18.02,15353107
"October 21, 2017 ",09/24/2017,11029,36646,39444,9.25,12920166
"May 18, 2018 ",04/01/2018,14623,65616,42768,15.31,15234915
"February 28, 2018 ",01/08/2018,19764,65,41823,15.69,14196598
"January 01, 2018 ",09/24/2017,0,3,40799,23.88,13527606
"March 13, 2018 ",01/08/2018,27045,37186,42012,19.88,14375673
"December 10, 2017 ",09/24/2017,86,68865,40790,23.69,13522570
"December 03, 2018 ",09/26/2018,1170,32435,47775,17.41,16795585
"January 12, 2019 ",01/06/2019,10307,4495,48175,1.95,17111795
"January 19, 2019 ",01/06/2019,8845,83645,48341,3.78,17200945
"March 06, 2019 ",01/06/2019,24193,765,49099,15.04,17698167
"December 31, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"December 23, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"January 19, 2018 ",01/08/2018,22531,4233,40970,2.53,13642720
"January 18, 2018 ",01/08/2018,26539,7,40930,1.99,13620189
"July 05, 2019 ",06/22/2019,0,46228,50333,0.92,18984330
"April 16, 2018 ",04/01/2018,1074,57,42332,4.45,14767325
"May 21, 2019 ",04/01/2019,18025,6256,49998,12.49,18601113
"December 20, 2017 ",09/24/2017,0,3,40799,23.87,13527606
"July 21, 2018 ",06/23/2018,1517,5,43183,2.29,15724205
"July 04, 2018 ",06/23/2018,5484,4399,43111,1,15668193
"November 11, 2018 ",09/26/2018,0,36544,47313,13.46,16599694
"August 27, 2018 ",06/23/2018,242,50695,43616,5.72,15874895
"November 21, 2017 ",09/24/2017,19687,86,40435,18.47,13302375
"April 29, 2019 ",04/01/2019,1426,3417,49735,6.86,18317196
"October 25, 2018 ",09/26/2018,22023,4295,46696,9.22,16392679
"January 06, 2019 ",01/06/2019,0,,48053,0,17017282
"March 07, 2019 ",01/06/2019,20335,83,49125,15.44,17718502
"July 11, 2018 ",06/23/2018,6907,5887,43147,1.5,15690087
"January 23, 2018 ",01/08/2018,30821,5077,41047,3.66,13689259
"October 18, 2018 ",09/26/2018,23032,3203,46253,6.95,16283451
"February 05, 2018 ",01/08/2018,746,33326,41420,8.02,13871755
"January 31, 2018 ",01/08/2018,22172,77929,41308,6.71,13816416
"September 28, 2017 ",09/24/2017,1502,3,36839,0.06,12555944
"June 10, 2019 ",04/01/2019,4500,880416,50217,17.5,18855888
"December 01, 2018 ",09/26/2018,13106,31265,47774,17.39,16794415
"June 15, 2019 ",04/01/2019,5805,6223,50259,19.11,18937711
"November 02, 2017 ",09/24/2017,18838,533956,39936,13.33,13087661
"April 20, 2019 ",04/01/2019,10887,52025,49613,5.08,18227497
"May 14, 2018 ",04/01/2018,825,579873,42699,13.55,15158624
"March 10, 2019 ",01/06/2019,0,72904,49151,16.09,17750707
"December 26, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"February 07, 2018 ",01/08/2018,25067,3839,41487,9.23,13922469
"November 23, 2018 ",09/26/2018,0,74154,47580,15.58,16704698
"February 03, 2018 ",01/08/2018,12015,3325,41418,8,13871009
"August 18, 2018 ",06/23/2018,2354,445,43551,5.08,15846645
"June 22, 2018 ",04/01/2018,49,543,43025,24.24,15624185
"April 21, 2019 ",04/01/2019,0,52025,49613,5.08,18227497
"March 28, 2019 ",01/06/2019,15,5,49334,20.54,17973856
"May 23, 2018 ",04/01/2018,21117,705735,42809,16.45,15284486
"January 24, 2018 ",01/08/2018,24887,757,41106,4.26,13714205
"November 04, 2017 ",09/24/2017,9483,55815,40027,13.9,13111857
"March 17, 2018 ",01/08/2018,20446,945609,42104,22.41,14484096
"December 27, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"November 05, 2018 ",09/26/2018,1342,549807,47103,11.68,16512957
"October 22, 2018 ",09/26/2018,1376,35,46414,7.74,16321358
"February 13, 2019 ",01/06/2019,0,441424,48795,10.13,17458724
"November 07, 2018 ",09/26/2018,20818,593953,47209,12.59,16557103
"December 12, 2017 ",09/24/2017,2890,5,40796,23.78,13526157
"April 24, 2018 ",04/01/2018,22679,31485,42453,7.4,14893603
"May 20, 2018 ",04/01/2018,0,664987,42778,15.51,15243738
"April 02, 2019 ",04/01/2019,16665,5237,49343,0.32,17990709
"October 02, 2017 ",09/24/2017,402,3,37324,0.99,12590777
"March 14, 2018 ",01/08/2018,23780,60966,42037,20.43,14399453
"November 22, 2017 ",09/24/2017,13902,625,40466,18.8,13316304
"August 25, 2018 ",06/23/2018,2163,5045,43616,5.71,15874653
"October 24, 2018 ",09/26/2018,23983,4075,46604,8.76,16370656
"October 07, 2018 ",09/26/2018,0,3,45158,3.1,16101378
"October 03, 2018 ",09/26/2018,23256,,44756,1.99,16050076
"August 04, 2018 ",06/23/2018,2871,589,43234,3.65,15783160
"December 17, 2017 ",09/24/2017,0,3,40798,23.87,13527606
"November 03, 2018 ",09/26/2018,9908,548464,47097,11.66,16511614
"February 19, 2019 ",01/06/2019,0,4518,48857,11.19,17470097
"February 19, 2019 ",01/06/2019,0,44,48843,10.89,17458490
"March 05, 2018 ",01/08/2018,1069,70796,41872,16.86,14246448
"June 29, 2018 ",06/23/2018,4033,7,43079,0.68,15654367
"July 29, 2018 ",06/23/2018,0,49,43207,2.86,15749101
"January 15, 2018 ",01/08/2018,0,4656,40848,0.6,13563143
"June 11, 2019 ",04/01/2019,22577,5,50225,17.94,18878467
"October 17, 2018 ",09/26/2018,23861,7,46120,6.47,16260419
"October 08, 2018 ",09/26/2018,1277,39505,45170,3.13,16102655
"January 25, 2019 ",01/06/2019,21737,8,48482,5.39,17279468
"May 28, 2019 ",04/01/2019,564,686,50055,13.68,18661663
"July 26, 2018 ",06/23/2018,6163,7,43197,2.7,15742026
"October 22, 2017 ",09/24/2017,11,366,39444,9.25,12920177
"June 20, 2018 ",04/01/2018,167,537,43025,24.24,15624129
"June 13, 2019 ",04/01/2019,16869,397,50245,18.67,18915221
"October 01, 2018 ",09/26/2018,2134,32187,44258,0.78,15995337
"September 29, 2018 ",09/26/2018,12086,3005,44230,0.74,15993202
"May 11, 2019 ",04/01/2019,9646,525175,49908,10.5,18500647
"September 19, 2018 ",06/23/2018,188,754,43778,7.56,15956954
"May 29, 2018 ",04/01/2018,639,752499,42843,17.52,15331250
"July 15, 2018 ",06/23/2018,14,7,43160,1.76,15701061
"August 01, 2018 ",06/23/2018,7799,41394,43220,3.24,15765594
"May 03, 2019 ",04/01/2019,16266,3,49815,8.51,18399864
"October 21, 2018 ",09/26/2018,0,35683,46410,7.71,16319982
"May 11, 2018 ",04/01/2018,17980,569503,42692,13.31,15148254
"January 23, 2019 ",01/06/2019,27121,38,48390,4.37,17229338
"February 16, 2018 ",01/08/2018,18330,530745,41674,12.7,14069232
"April 28, 2019 ",04/01/2019,76,340298,49735,6.83,18315770
"October 04, 2018 ",09/26/2018,18700,5,44903,2.39,16068776
"November 28, 2017 ",09/24/2017,23326,89556,40518,19.44,13343261
"May 13, 2019 ",04/01/2019,1224,5263,49908,10.53,18501871
"April 23, 2019 ",04/01/2019,23212,77785,49657,5.59,18253257
"August 17, 2018 ",06/23/2018,4857,9,43522,5.03,15844291
"October 23, 2018 ",09/26/2018,25295,3835,46532,8.26,16346659
"April 19, 2018 ",04/01/2018,22813,58495,42410,6.09,14837246
"January 03, 2018 ",09/24/2017,0,3,40799,23.88,13527606
"February 04, 2018 ",01/08/2018,0,3325,41419,8,13871009
"October 26, 2017 ",09/24/2017,22373,,39678,11.06,12994002
"August 16, 2018 ",06/23/2018,6429,5227,43476,4.92,15839427
"February 16, 2019 ",01/06/2019,0,44,48842,10.87,17458490
"November 20, 2018 ",09/26/2018,24709,726704,47549,15.28,16689854
"February 04, 2019 ",01/06/2019,1411,37364,48650,7.65,17390942
"May 27, 2019 ",04/01/2019,285,685627,50054,13.67,18661099
"February 07, 2019 ",01/06/2019,20300,4334,48724,8.87,17450729
"August 07, 2018 ",06/23/2018,10100,914,43255,3.88,15793342
"April 03, 2018 ",04/01/2018,22466,7,42163,0.53,14601223
"June 15, 2018 ",04/01/2018,14740,3836,43020,24.08,15617112
"October 20, 2017 ",09/24/2017,23244,355,39412,8.98,12909127
"July 10, 2018 ",06/23/2018,8456,589,43137,1.34,15683180
"June 09, 2018 ",04/01/2018,24146,950786,42981,22.07,15529537
"July 17, 2018 ",06/23/2018,7258,4167,43164,1.93,15708367
"February 23, 2019 ",01/06/2019,11329,539128,48927,12.29,17560794
"September 04, 2018 ",06/23/2018,9,74475,43673,6.25,15898675
"October 03, 2017 ",09/24/2017,29603,66695,37632,1.76,12620400
"October 14, 2017 ",09/24/2017,18595,576,38989,6.58,12811376
"October 10, 2017 ",09/24/2017,27236,5,38486,4.47,12726464
"May 25, 2019 ",04/01/2019,8882,6853,50054,13.67,18660814
"April 01, 2018 ",01/08/2018,0,40264,42152,24.62,14578751
"May 04, 2018 ",04/01/2018,18927,68476,42593,10.98,15047227
"December 23, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"April 14, 2018 ",04/01/2018,9125,75,42330,4.42,14766251
"October 16, 2017 ",09/24/2017,1086,5875,38996,6.61,12812462
"October 07, 2017 ",09/24/2017,11611,66,38262,3.75,12697971
"December 07, 2018 ",09/26/2018,30945,44555,47942,19.68,16907705
"July 24, 2018 ",06/23/2018,5475,5,43188,2.42,15729828
"October 04, 2017 ",09/24/2017,25683,38,37855,2.43,12646085
"May 24, 2018 ",04/01/2018,21353,727,42822,16.94,15305839
"January 29, 2018 ",01/08/2018,761,63,41229,5.54,13767350
"February 17, 2018 ",01/08/2018,8984,539729,41683,12.91,14078216
"June 08, 2019 ",04/01/2019,19645,875916,50215,17.41,18851388
"February 24, 2018 ",01/08/2018,9762,61644,41770,14.72,14154935
"June 14, 2019 ",04/01/2019,16685,5643,50255,18.99,18931906
"December 21, 2018 ",09/26/2018,11,53925,48053,21.91,17017075
"December 02, 2017 ",09/24/2017,11314,8613,40644,21.14,13415045
"February 09, 2018 ",01/08/2018,19588,42809,41549,10.28,13966578
"January 07, 2018 ",09/24/2017,0,3,40801,23.89,13527606
"December 15, 2017 ",09/24/2017,0,3,40797,23.86,13527606
"March 15, 2018 ",01/08/2018,28642,9616,42058,21.1,14428103
"May 18, 2019 ",04/01/2019,7946,6068,49985,12.12,18582293
"March 29, 2019 ",01/06/2019,186,5237,49334,20.54,17974042
"May 19, 2018 ",04/01/2018,8823,664987,42778,15.51,15243738
"March 28, 2018 ",01/08/2018,22,40184,42152,24.62,14578671
"February 26, 2018 ",01/08/2018,715,617163,41770,14.74,14155650
"November 08, 2017 ",09/24/2017,18382,6006,40122,14.93,13154376
"March 16, 2018 ",01/08/2018,35499,925125,42090,21.93,14463612
"April 25, 2018 ",04/01/2018,20697,335549,42469,7.89,14914300
"April 10, 2019 ",04/01/2019,17557,67,49454,2.37,18092194
"December 11, 2017 ",09/24/2017,697,6956,40791,23.71,13523267
"November 28, 2018 ",09/26/2018,19964,7807,47653,16.38,16743869
"January 21, 2019 ",01/06/2019,540,84185,48342,3.8,17201485
"June 13, 2018 ",04/01/2018,21103,9,43003,23.21,15578970
"June 23, 2019 ",06/22/2019,0,,50260,0,18938102
"March 19, 2019 ",01/06/2019,24154,893807,49291,19.37,17915473
"August 19, 2018 ",06/23/2018,0,445,43551,5.08,15846645
"November 25, 2018 ",09/26/2018,0,74154,47580,15.58,16704698
"June 05, 2019 ",04/01/2019,24116,805827,50174,16.03,18781299
"September 10, 2018 ",06/23/2018,192,97,43719,6.76,15921336
"November 13, 2017 ",09/24/2017,817,640255,40217,15.88,13193960
"November 30, 2017 ",09/24/2017,19671,830536,40581,20.41,13384241
"April 05, 2019 ",04/01/2019,14244,66903,49390,1.36,18042375
"February 12, 2019 ",01/06/2019,0,441424,48767,9.71,17458724
"June 08, 2018 ",04/01/2018,29265,9266,42971,21.51,15505391
"March 22, 2018 ",01/08/2018,14410,5,42144,24.1,14556545
"March 23, 2019 ",01/06/2019,6958,51774,49334,20.53,17973440
"November 29, 2017 ",09/24/2017,21171,81073,40552,19.94,13364435
"January 27, 2018 ",01/08/2018,10295,,41227,5.52,13766589
"February 01, 2019 ",01/06/2019,14916,362525,48636,7.43,17379825
"March 04, 2018 ",01/08/2018,0,70689,41871,16.84,14245379
"November 01, 2017 ",09/24/2017,18148,515,39886,12.87,13068817
"January 31, 2019 ",01/06/2019,21856,347,48611,7.13,17364901
"July 10, 2019 ",06/22/2019,6397,47,50350,1.2,18998573
"August 29, 2018 ",06/23/2018,5441,95,43647,5.99,15887156
"March 13, 2019 ",01/06/2019,24012,77998,49206,17.1,17801648
"March 19, 2018 ",01/08/2018,3649,949469,42105,22.5,14487956
"September 28, 2018 ",09/26/2018,17925,7,44117,0.46,15981116
"November 09, 2017 ",09/24/2017,20562,62123,40161,15.42,13174942
"December 01, 2017 ",09/24/2017,19454,85,40615,20.88,13403722
"July 07, 2018 ",06/23/2018,1620,5014,43125,1.14,15674340
"March 16, 2019 ",01/06/2019,23476,86324,49273,18.76,17884908
"July 03, 2019 ",06/22/2019,5081,413,50323,0.82,18979411
"September 15, 2018 ",06/23/2018,4428,4,43774,7.55,15956610
"September 30, 2018 ",09/26/2018,1,30053,44231,0.74,15993203
"April 27, 2018 ",04/01/2018,18903,376706,42518,8.84,14955457
"July 06, 2018 ",06/23/2018,4525,485,43121,1.1,15672720
"December 18, 2018 ",09/26/2018,105,5384,48053,21.91,17016992
"July 18, 2018 ",06/23/2018,5960,90127,43168,2.06,15714327
"January 13, 2018 ",01/08/2018,3066,465,40848,0.6,13563138
"May 03, 2018 ",04/01/2018,20245,9545,42576,10.54,15028296
"July 16, 2018 ",06/23/2018,48,76909,43160,1.76,15701109
"February 02, 2019 ",01/06/2019,9706,37223,48647,7.63,17389531
"April 09, 2018 ",04/01/2018,825,9476,42221,2.24,14673519
"February 03, 2019 ",01/06/2019,0,37223,48647,7.63,17389531
"July 12, 2019 ",06/22/2019,4502,71603,50368,1.42,19009705
"December 31, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"April 01, 2019 ",01/06/2019,2,52378,49334,20.54,17974044
"June 12, 2018 ",04/01/2018,25214,979116,42992,22.72,15557867
"October 29, 2017 ",09/24/2017,0,5,39780,11.81,13025110
"June 17, 2018 ",04/01/2018,0,5077,43024,24.24,15623828
"December 06, 2018 ",09/26/2018,27986,357,47894,19.06,16876722
"April 12, 2019 ",04/01/2019,12760,805,49488,2.99,18123522
"November 22, 2018 ",09/26/2018,3343,74154,47580,15.58,16704698
"April 17, 2019 ",04/01/2019,21525,67,49551,4.08,18177639
"July 20, 2018 ",06/23/2018,3562,984,43182,2.26,15722688
"July 07, 2019 ",06/22/2019,2,47,50334,0.94,18985318
"April 06, 2019 ",04/01/2019,8577,7548,49395,1.53,18050952
"June 24, 2019 ",06/22/2019,18,8,50260,0,18938120
"December 17, 2018 ",09/26/2018,0,53737,48053,21.91,17016887
"March 02, 2018 ",01/08/2018,15474,695036,41856,16.56,14233523
"November 27, 2017 ",09/24/2017,168,6615,40475,18.88,13319857
"July 03, 2018 ",06/23/2018,6289,509,43096,0.87,15662709
"October 31, 2018 ",09/26/2018,19256,505,46960,10.78,16468772
"June 03, 2019 ",04/01/2019,1405,75846,50136,15.1,18733941
"March 02, 2019 ",01/06/2019,11536,864,49041,14.08,17650315
"December 29, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"February 23, 2018 ",01/08/2018,17058,606639,41762,14.49,14145126
"June 28, 2018 ",06/23/2018,5935,4,43071,0.59,15650334
"October 18, 2017 ",09/24/2017,23370,307863,39201,7.82,12861568
"April 07, 2019 ",04/01/2019,0,7548,49395,1.53,18050952
"October 15, 2017 ",09/24/2017,0,576,38989,6.58,12811376
"December 09, 2018 ",09/26/2018,0,5,47972,20.12,16929148
"July 14, 2018 ",06/23/2018,1463,76847,43160,1.76,15701047
"July 02, 2018 ",06/23/2018,238,,43084,0.73,15656420
"May 30, 2019 ",04/01/2019,19351,727845,50102,14.5,18703317
"October 28, 2018 ",09/26/2018,0,458587,46825,9.81,16421737
"March 09, 2018 ",01/08/2018,22515,796746,41964,18.94,14335233
"February 14, 2018 ",01/08/2018,22424,492204,41628,11.8,14030691
"December 29, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"November 20, 2017 ",09/24/2017,782,8,40400,18,13282647
"September 01, 2018 ",06/23/2018,2005,74435,43673,6.25,15898635
"January 15, 2019 ",01/06/2019,25866,707,48216,2.51,17139007
"May 31, 2019 ",04/01/2019,18989,74683,50125,14.87,18722306
